"","Fire_ID","mtbs_cast_id","modis_id","n","mtbs_acres","mtbs_hectares","mtbs_year","modis_ha","modis_acres","west_or_east"
"95","FL2577808064320011106","FL2577808064320011106","NA",0,3694.36201944285,1495.0612467443,2001,NA,NA,"e"
"96","FL2585408123420010507","FL2585408123420010507","200103207",1,2892.96910456077,1170.74774304594,2001,535.9225,1324.2933375,"e"
"97","FL2590308051520011106","FL2590308051520011106","NA",0,568.908821316988,230.230152650356,2001,NA,NA,"e"
"98","FL2590308051520011106","FL2590308051520011106_3930","200103206",1,22254.6383793284,9006.16864999604,2001,621.6701,1536.1802715,"e"
"99","FL2604508151320010206","FL2604508151320010206","200103202",1,202.147409901189,81.8064816286147,2001,21.4369,52.9717335,"e"
"100","FL2604508151320010206","FL2604508151320010206_4205","200103202",1,488.069931474389,197.515683738691,2001,128.6214,317.830401,"e"
"101","FL2604608047220011106","FL2604608047220011106","NA",0,553.807283794153,224.118752793542,2001,NA,NA,"e"
"102","FL2610208143420010521","FL2610208143420010521","200103194",1,5920.0884963973,2395.78439841019,2001,1093.2819,2701.5584085,"e"
"103","FL2611808163620011004","FL2611808163620011004","NA",0,4279.0823955432,1731.69013419189,2001,NA,NA,"e"
"104","FL2613708061020011106","FL2613708061020011106","NA",0,1042.88319354693,422.041543126327,2001,NA,NA,"e"
"105","FL2621308084620010106","FL2621308084620010106","200103185",1,542.907281772027,219.70766083045,2001,150.0583,370.8021345,"e"
"106","FL2625208145320010418","FL2625208145320010418","200103180 200103183",2,1929.48560166489,780.838243252439,2001,64.3107,158.9152005,"e"
"107","FL2626308078820010303","FL2626308078820010303","200103168 200103174",2,6808.86520014826,2755.4610082806,2001,2358.059,5826.890685,"e"
"108","FL2627508036620011106","FL2627508036620011106","NA",0,2481.96970229792,1004.42152067672,2001,NA,NA,"e"
"109","FL2629408075820010409","FL2629408075820010409","200103168 200103174",2,13405.1203159183,5424.88142385587,2001,5252.0405,12978.0747075,"e"
"110","FL2629508067420011106","FL2629508067420011106","200103168",1,5239.90857328113,2120.52424834567,2001,21.4369,52.9717335,"e"
"111","FL2631708059820011106","FL2631708059820011106","200103169",1,9741.36461534857,3942.20616446524,2001,2143.69,5297.17335,"e"
"112","FL2636808085920011106","FL2636808085920011106","200103142 200103161",2,1370.79456180795,554.743096594518,2001,300.1166,741.604269,"e"
"113","FL2663108039720010329","FL2663108039720010329","200103097",1,1858.5919883504,752.148501058698,2001,21.4369,52.9717335,"e"
"114","FL2807108139920010312","FL2807108139920010312","200102883",1,1545.51480722242,625.450154150348,2001,685.9808,1695.095472,"e"
