id,latitude,longitude,ignition_date,ignition_state
24554,48.6395819552956,-98.92462272899205,2006-09-24,North Dakota
24555,46.764583955890224,-116.96818253832203,2006-09-24,Idaho
24556,46.35625193757763,-117.73932325680003,2006-09-24,Washington
24557,35.3979158575167,-90.21613942757193,2006-09-24,Arkansas
24558,48.12708163278156,-99.6658074189932,2006-09-24,North Dakota
24559,39.13124969405436,-112.33100177231414,2006-09-24,Utah
24560,46.72708228719299,-117.40350445541426,2006-09-24,Washington
24561,46.55208349314516,-118.29676876844736,2006-09-24,Washington
24562,48.008749029252016,-112.80416436763177,2006-09-25,Montana
24563,34.833332507052674,-91.6414131546553,2006-09-25,Arkansas
24564,34.6520823107379,-91.6406484232008,2006-09-25,Arkansas
24565,47.55208302570842,-98.94694907872723,2006-09-25,North Dakota
24566,44.406250600777796,-114.79680048002092,2006-09-25,Idaho
24567,35.414582516392755,-91.13716681679911,2006-09-25,Arkansas
24568,40.3562502455951,-104.5968484232498,2006-09-25,Colorado
24569,34.489584072922476,-90.82476223108482,2006-09-25,Arkansas
24570,35.318750914081555,-91.32776962339355,2006-09-25,Arkansas
24571,45.264584657045326,-116.52548270966513,2006-09-25,Idaho
24572,42.987500420840604,-115.63528863570883,2006-09-26,Idaho
24573,30.429166212829195,-91.46790487733809,2006-09-26,Louisiana
24574,33.972917647764795,-90.33452272673749,2006-09-26,Mississippi
24575,26.38541725991345,-81.44495311672833,2006-09-26,Florida
24576,48.92291740449001,-119.92247785379267,2006-09-26,Washington
24578,36.76041578270952,-90.21202779380883,2006-09-26,Missouri
24579,34.43541574534919,-92.05409365634208,2006-09-26,Arkansas
24580,42.96874958649199,-115.36372382789611,2006-09-26,Idaho
24581,46.26180528897851,-118.05664699595803,2006-09-26,Washington
24582,40.856250011876725,-110.79755686723394,2006-09-26,Utah
24583,46.43958298365642,-96.50404360402369,2006-09-26,Minnesota
24584,35.53541673003644,-91.16756920491295,2006-09-26,Arkansas
24585,46.30624971264799,-116.58222155883183,2006-09-26,Idaho
24586,47.34375091390849,-113.8949110928246,2006-09-26,Montana
24588,32.527084428191706,-107.35448715137797,2006-09-26,New Mexico
24589,36.538194413795956,-89.34706405474088,2006-09-26,Kentucky
24590,48.16458330147879,-98.96091062536306,2006-09-26,North Dakota
24591,44.73958377829888,-121.19357759828145,2006-09-26,Oregon
24592,35.468749345098395,-91.07317540875323,2006-09-26,Arkansas
24593,32.015972057125055,-84.30219671336596,2006-09-26,Georgia
24594,34.25625084865772,-91.77190824098659,2006-09-27,Arkansas
24595,41.000694388802536,-110.65723384350471,2006-09-27,Wyoming
24596,43.827083642759526,-120.20348001951713,2006-09-27,Oregon
24597,31.49374932957486,-84.19607100617556,2006-09-27,Georgia
24598,39.18208379053185,-121.72338139499274,2006-09-27,California
24599,48.82291745123368,-96.40648629368802,2006-09-27,Minnesota
24600,27.67083304469146,-80.94519035554609,2006-09-27,Florida
